event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
M,54106563,1,48,80000008,80003072,15728640,41943040,15728640,41943040,0,0,
M,54222440,1,49,80000008,80003072,16056320,41943040,16056320,41943040,0,0,
M,54332275,1,50,80000008,80003072,16384000,41943040,16384000,41943040,0,0,
M,54455767,1,51,80000008,80003072,16711680,41943040,16711680,41943040,0,0,
M,54571860,1,52,80000008,80003072,17039360,41943040,17039360,41943040,0,0,
M,54688092,1,53,80000008,80003072,17367040,41943040,17367040,41943040,0,0,
M,54801880,1,54,80000008,80003072,17694720,41943040,17694720,41943040,0,0,
M,54919113,1,55,80000008,80003072,18022400,41943040,18022400,41943040,0,0,
M,55051424,1,56,80000008,80003072,18350080,41943040,18350080,41943040,0,0,
M,55174532,1,57,80000008,80003072,18677760,41943040,18677760,41943040,0,0,
M,55290566,1,58,80000008,80003072,19005440,41943040,19005440,41943040,0,0,
M,55409195,1,59,80000008,80003072,19333120,41943040,19333120,41943040,0,0,
M,55526833,1,60,80000008,80003072,19660800,41943040,19660800,41943040,0,0,
M,55657125,1,61,80000008,80003072,19988480,41943040,19988480,41943040,0,0,
M,55788788,1,62,80000008,80003072,20316160,41943040,20316160,41943040,0,0,
M,55906945,1,63,80000008,80003072,20643840,41943040,20643840,41943040,0,0,
M,56023525,1,64,80000008,80003072,20971520,41943040,20971520,41943040,0,0,
S,56078392,1,64,80000008,80003072,20971520,41943040,20971520,41943040,0,0,
D,57088604,1,63,80000008,80003072,20643840,42270720,20643840,42270720,0,0,
D,57139749,1,62,80000008,80003072,20316160,42598400,20316160,42598400,0,0,
D,57214676,1,61,80000008,80003072,19988480,42926080,19988480,42926080,0,0,
D,57286126,1,60,80000008,80003072,19660800,43253760,19660800,43253760,0,0,
D,57297955,1,59,80000008,80003072,19333120,43581440,19333120,43581440,0,0,
D,57325879,1,58,80000008,80003072,19005440,43909120,19005440,43909120,0,0,
D,57395607,1,57,80000008,80003072,18677760,44236800,18677760,44236800,0,0,
D,57406275,1,56,80000008,80003072,18350080,44564480,18350080,44564480,0,0,
D,57446454,1,55,80000008,80003072,18022400,44892160,18022400,44892160,0,0,
D,57509643,1,54,80000008,80003072,17694720,45219840,17694720,45219840,0,0,
D,57514094,1,53,80000008,80003072,17367040,45547520,17367040,45547520,0,0,
D,58359084,1,52,80000008,80003072,17039360,45875200,17039360,45875200,0,0,
D,58427584,1,51,80000008,80003072,16711680,46202880,16711680,46202880,0,0,
D,58484365,1,50,80000008,80003072,16384000,46530560,16384000,46530560,0,0,
